benchmark_id,request_id,true_type,true_subtype,pred_type,pred_subtype,attributes,metadata,attributes_en
1,REC-000001,Document,Guide,Content,Comment,"{""sku"":""SKU-TM5B6Q90"",""upc"":""843594285980"",""name"":""פריט_76s8dub"",""size"":""XL"",""tags"":[""מוזיקה"",""מוזיקה""],""brand"":""מותג א"",""color"":""קטן"",""price"":15.02,""rating"":""5.0"",""weight"":1.38,""material"":""פלסטיק"",""inventory"":788,""dimensions"":{""width"":428,""height"":358,""length"":36},""createdDate"":""2025-11-19T17:25:48.052Z"",""description"":""מוצר אמנות דלוקס"",""lastModified"":""2026-02-26T02:51:06.348Z""}","{""region"":""LATAM"",""source"":""User Submission"",""status"":""Active"",""verified"":false,""confidence"":""66.21"",""department"":""Support"",""dataQuality"":""Low"",""lastChecked"":""2026-03-02T21:10:58.137Z""}","{""sku"":""SKU-TM5B6Q90"",""upc"":""843594285980"",""name"":""Item_76s8dub"",""size"":""XL"",""tags"":[""music"",""music""],""brand"":""BrandA"",""color"":""small"",""price"":15.02,""rating"":""5.0"",""weight"":1.38,""material"":""Plastic"",""inventory"":788,""dimensions"":{""width"":428,""height"":358,""length"":36},""createdDate"":""2025-11-19T17:25:48.052Z"",""description"":""A deluxe art product"",""lastModified"":""2026-02-26T02:51:06.348Z""}"
1,REC-000002,Complaint,Delivery,Security,Access Control,"{""sku"":""SKU-FWUCPW6P"",""upc"":""817346185098"",""name"":""פריט_euv9kg"",""size"":""S"",""tags"":[""מזון"",""צעצועים"",""צעצועים"",""ביגוד""],""brand"":""פרמיום"",""color"":""אדום"",""price"":46.55,""rating"":""2.9"",""weight"":70.42,""material"":""צמר"",""inventory"":630,""dimensions"":{""width"":64,""height"":312,""length"":345},""createdDate"":""2025-06-28T18:18:57.767Z"",""description"":""מוצר צעצועים צרכני"",""lastModified"":""2026-03-04T01:07:25.504Z""}","{""region"":""EU"",""source"":""Manual Entry"",""status"":""Review"",""verified"":false,""confidence"":""25.91"",""department"":""Sales"",""dataQuality"":""High"",""lastChecked"":""2026-03-22T02:11:35.404Z""}","{""sku"":""SKU-FWUCPW6P"",""upc"":""817346185098"",""name"":""Item_euv9kg"",""size"":""S"",""tags"":[""food"",""toys"",""toys"",""clothing""],""brand"":""Premium"",""color"":""red"",""price"":46.55,""rating"":""2.9"",""weight"":70.42,""material"":""Wool"",""inventory"":630,""dimensions"":{""width"":64,""height"":312,""length"":345},""createdDate"":""2025-06-28T18:18:57.767Z"",""description"":""A consumer toys product"",""lastModified"":""2026-03-04T01:07:25.504Z""}"
1,REC-000003,Support,Knowledge Base,Feedback,Bug Report,"{""sku"":""SKU-WYMYGTS8"",""upc"":""166778102537"",""name"":""פריט_332vmq"",""size"":""XS"",""tags"":[""ריהוט"",""אמנות"",""אמנות"",""ספורט"",""אמנות""],""brand"":""תקציב"",""color"":""אדום"",""price"":76.68,""rating"":""2.1"",""weight"":74.55,""material"":""עץ"",""inventory"":395,""dimensions"":{""width"":491,""height"":383,""length"":217},""createdDate"":""2025-10-17T10:43:58.224Z"",""description"":""מוצר בית סטנדרטי"",""lastModified"":""2026-03-13T21:29:20.314Z""}","{""region"":""MENA"",""source"":""User Submission"",""status"":""Archived"",""verified"":true,""confidence"":""63.96"",""department"":""Finance"",""dataQuality"":""High"",""lastChecked"":""2026-03-14T04:38:47.680Z""}","{""sku"":""SKU-WYMYGTS8"",""upc"":""166778102537"",""name"":""Item_332vmq"",""size"":""XS"",""tags"":[""furniture"",""art"",""art"",""sports"",""art""],""brand"":""Budget"",""color"":""red"",""price"":76.68,""rating"":""2.1"",""weight"":74.55,""material"":""Wood"",""inventory"":395,""dimensions"":{""width"":491,""height"":383,""length"":217},""createdDate"":""2025-10-17T10:43:58.224Z"",""description"":""A standard home product"",""lastModified"":""2026-03-13T21:29:20.314Z""}"
1,REC-000004,Content,Audio,Return,Incompatible,"{""sku"":""SKU-Q1QSDNM9"",""upc"":""298054982716"",""name"":""פריט_pizlje"",""size"":""XXL"",""tags"":[""ריהוט"",""ספרים"",""ספורט""],""brand"":""גנרי"",""color"":""קטן"",""price"":31.85,""rating"":""1.9"",""weight"":88.19,""material"":""זכוכית"",""inventory"":847,""dimensions"":{""width"":2,""height"":282,""length"":280},""createdDate"":""2025-06-01T22:30:13.433Z"",""description"":""מוצר ביגוד דלוקס"",""lastModified"":""2026-03-05T20:25:44.640Z""}","{""region"":""MENA"",""source"":""User Submission"",""status"":""Archived"",""verified"":false,""confidence"":""77.38"",""department"":""Support"",""dataQuality"":""Low"",""lastChecked"":""2026-03-02T21:28:42.147Z""}","{""sku"":""SKU-Q1QSDNM9"",""upc"":""298054982716"",""name"":""Item_pizlje"",""size"":""XXL"",""tags"":[""furniture"",""books"",""sports""],""brand"":""Generic"",""color"":""small"",""price"":31.85,""rating"":""1.9"",""weight"":88.19,""material"":""Glass"",""inventory"":847,""dimensions"":{""width"":2,""height"":282,""length"":280},""createdDate"":""2025-06-01T22:30:13.433Z"",""description"":""A deluxe clothing product"",""lastModified"":""2026-03-05T20:25:44.640Z""}"
1,REC-000005,Account,Unverified,Account,Developer,"{""sku"":""SKU-0LIR6C6I"",""upc"":""889993917346"",""name"":""פריט_g97xbo"",""size"":""L"",""tags"":[""ספרים"",""בית""],""brand"":""תקציב"",""color"":""אדום"",""price"":70.11,""rating"":""4.1"",""weight"":37.01,""material"":""עור"",""inventory"":999,""dimensions"":{""width"":395,""height"":212,""length"":441},""createdDate"":""2026-02-16T09:30:51.826Z"",""description"":""מוצר ריהוט פרמיום"",""lastModified"":""2026-03-18T14:06:55.293Z""}","{""region"":""US"",""source"":""Manual Entry"",""status"":""Archived"",""verified"":false,""confidence"":""8.31"",""department"":""Marketing"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-14T17:45:18.180Z""}","{""sku"":""SKU-0LIR6C6I"",""upc"":""889993917346"",""name"":""Item_g97xbo"",""size"":""L"",""tags"":[""books"",""home""],""brand"":""Budget"",""color"":""red"",""price"":70.11,""rating"":""4.1"",""weight"":37.01,""material"":""Leather"",""inventory"":999,""dimensions"":{""width"":395,""height"":212,""length"":441},""createdDate"":""2026-02-16T09:30:51.826Z"",""description"":""A premium furniture product"",""lastModified"":""2026-03-18T14:06:55.293Z""}"
1,REC-000006,Communication,Phone Call,Security,Patch,"{""sku"":""SKU-GX9BH1R5"",""upc"":""499894567444"",""name"":""פריט_x0p0s"",""size"":""XL"",""tags"":[""ספרים"",""ביגוד"",""ספרים"",""צעצועים""],""brand"":""גנרי"",""color"":""בסיסי"",""price"":17.48,""rating"":""4.9"",""weight"":17.31,""material"":""צמר"",""inventory"":779,""dimensions"":{""width"":157,""height"":435,""length"":484},""createdDate"":""2026-01-08T22:50:13.342Z"",""description"":""מוצר מזון סטנדרטי"",""lastModified"":""2026-03-19T09:21:03.984Z""}","{""region"":""LATAM"",""source"":""Web Scrape"",""status"":""Archived"",""verified"":true,""confidence"":""86.37"",""department"":""Support"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-27T07:57:22.513Z""}","{""sku"":""SKU-GX9BH1R5"",""upc"":""499894567444"",""name"":""Item_x0p0s"",""size"":""XL"",""tags"":[""books"",""clothing"",""books"",""toys""],""brand"":""Generic"",""color"":""basic"",""price"":17.48,""rating"":""4.9"",""weight"":17.31,""material"":""Wool"",""inventory"":779,""dimensions"":{""width"":157,""height"":435,""length"":484},""createdDate"":""2026-01-08T22:50:13.342Z"",""description"":""A standard food product"",""lastModified"":""2026-03-19T09:21:03.984Z""}"
1,REC-000007,Analytics,Retention,Content,Presentation,"{""sku"":""SKU-Q9LRJOVE"",""upc"":""479153253114"",""name"":""פריט_tg0gj9"",""size"":""M"",""tags"":[""אלקטרוניקה""],""brand"":""תקציב"",""color"":""פרמיום"",""price"":89.81,""rating"":""0.2"",""weight"":69.52,""material"":""זכוכית"",""inventory"":641,""dimensions"":{""width"":391,""height"":240,""length"":372},""createdDate"":""2025-08-17T11:54:16.569Z"",""description"":""מוצר צעצועים קטן"",""lastModified"":""2026-02-26T02:50:48.838Z""}","{""region"":""LATAM"",""source"":""Web Scrape"",""status"":""Archived"",""verified"":false,""confidence"":""77.72"",""department"":""Support"",""dataQuality"":""High"",""lastChecked"":""2026-03-11T19:33:31.318Z""}","{""sku"":""SKU-Q9LRJOVE"",""upc"":""479153253114"",""name"":""Item_tg0gj9"",""size"":""M"",""tags"":[""electronics""],""brand"":""Budget"",""color"":""premium"",""price"":89.81,""rating"":""0.2"",""weight"":69.52,""material"":""Glass"",""inventory"":641,""dimensions"":{""width"":391,""height"":240,""length"":372},""createdDate"":""2025-08-17T11:54:16.569Z"",""description"":""A small toys product"",""lastModified"":""2026-02-26T02:50:48.838Z""}"
1,REC-000008,Product,Exclusive,Security,Permission,"{""sku"":""SKU-XT3LQVEX"",""upc"":""717713621230"",""name"":""פריט_pirp05"",""size"":""M"",""tags"":[""אלקטרוניקה"",""אלקטרוניקה"",""צעצועים""],""brand"":""מותג ד"",""color"":""גדול"",""price"":42.15,""rating"":""1.9"",""weight"":62.54,""material"":""ניילון"",""inventory"":689,""dimensions"":{""width"":315,""height"":16,""length"":493},""createdDate"":""2025-08-25T16:42:17.719Z"",""description"":""מוצר ספורט קטן"",""lastModified"":""2026-03-08T11:33:57.617Z""}","{""region"":""LATAM"",""source"":""Manual Entry"",""status"":""Review"",""verified"":false,""confidence"":""70.44"",""department"":""Marketing"",""dataQuality"":""Medium"",""lastChecked"":""2026-03-24T09:17:58.558Z""}","{""sku"":""SKU-XT3LQVEX"",""upc"":""717713621230"",""name"":""Item_pirp05"",""size"":""M"",""tags"":[""electronics"",""electronics"",""toys""],""brand"":""BrandD"",""color"":""large"",""price"":42.15,""rating"":""1.9"",""weight"":62.54,""material"":""Nylon"",""inventory"":689,""dimensions"":{""width"":315,""height"":16,""length"":493},""createdDate"":""2025-08-25T16:42:17.719Z"",""description"":""A small sports product"",""lastModified"":""2026-03-08T11:33:57.617Z""}"
1,REC-000009,Security,Login,Security,Encryption,"{""sku"":""SKU-SN4SA0QZ"",""upc"":""21929736255"",""name"":""פריט_bivjr"",""size"":""L"",""tags"":[""ספרים"",""מוזיקה"",""ריהוט""],""brand"":""מותג חנות"",""color"":""בסיסי"",""price"":23.92,""rating"":""1.9"",""weight"":28.68,""material"":""מתכת"",""inventory"":651,""dimensions"":{""width"":126,""height"":188,""length"":88},""createdDate"":""2025-06-10T04:07:15.987Z"",""description"":""מוצר ריהוט סטנדרטי"",""lastModified"":""2026-03-14T06:42:50.748Z""}","{""region"":""US"",""source"":""User Submission"",""status"":""Pending"",""verified"":false,""confidence"":""86.45"",""department"":""Operations"",""dataQuality"":""Medium"",""lastChecked"":""2026-02-28T23:56:42.772Z""}","{""sku"":""SKU-SN4SA0QZ"",""upc"":""21929736255"",""name"":""Item_bivjr"",""size"":""L"",""tags"":[""books"",""music"",""furniture""],""brand"":""Store Brand"",""color"":""basic"",""price"":23.92,""rating"":""1.9"",""weight"":28.68,""material"":""Metal"",""inventory"":651,""dimensions"":{""width"":126,""height"":188,""length"":88},""createdDate"":""2025-06-10T04:07:15.987Z"",""description"":""A standard furniture product"",""lastModified"":""2026-03-14T06:42:50.748Z""}"
1,REC-000010,Support,Phone,Return,Full,"{""sku"":""SKU-EY69AE9X"",""upc"":""770547915937"",""name"":""פריט_ig3mp"",""size"":""S"",""tags"":[""ספרים"",""אמנות"",""מוזיקה"",""מוזיקה""],""brand"":""גנרי"",""color"":""גדול"",""price"":11.77,""rating"":""2.5"",""weight"":93.79,""material"":""ניילון"",""inventory"":242,""dimensions"":{""width"":274,""height"":499,""length"":185},""createdDate"":""2025-12-18T17:22:33.709Z"",""description"":""מוצר מוזיקה אדום"",""lastModified"":""2026-03-25T17:15:48.840Z""}","{""region"":""APAC"",""source"":""API"",""status"":""Pending"",""verified"":true,""confidence"":""25.59"",""department"":""Sales"",""dataQuality"":""Low"",""lastChecked"":""2026-03-16T14:45:08.498Z""}","{""sku"":""SKU-EY69AE9X"",""upc"":""770547915937"",""name"":""Item_ig3mp"",""size"":""S"",""tags"":[""books"",""art"",""music"",""music""],""brand"":""Generic"",""color"":""large"",""price"":11.77,""rating"":""2.5"",""weight"":93.79,""material"":""Nylon"",""inventory"":242,""dimensions"":{""width"":274,""height"":499,""length"":185},""createdDate"":""2025-12-18T17:22:33.709Z"",""description"":""A red music product"",""lastModified"":""2026-03-25T17:15:48.840Z""}"
