benchmark_id,request_id,true_type,true_subtype,pred_type,pred_subtype,attributes,metadata,en_attributes,confidence
1,REC-000001,Document,Guide,Document,Guide,"{""sku"": ""SKU-TM5B6Q90"", ""upc"": ""843594285980"", ""name"": ""Artículo_76s8dub"", ""size"": ""XL"", ""tags"": [""música"", ""música""], ""brand"": ""MarcaA"", ""color"": ""pequeño"", ""price"": 15.02, ""rating"": ""5.0"", ""weight"": 1.38, ""material"": ""Plástico"", ""inventory"": 788, ""dimensions"": {""width"": 428, ""height"": 358, ""length"": 36}, ""createdDate"": ""2025-11-19T17:25:48.052Z"", ""description"": ""Un producto de arte de lujo"", ""lastModified"": ""2026-02-26T02:51:06.348Z""}","{""region"": ""LATAM"", ""source"": ""Envío de Usuario"", ""status"": ""Activo"", ""verified"": false, ""confidence"": ""66.21"", ""department"": ""Soporte"", ""dataQuality"": ""Baja"", ""lastChecked"": ""2026-03-02T21:10:58.137Z""}","{""sku"":""SKU-TM5B6Q90"",""upc"":""843594285980"",""name"":""Item_76s8dub"",""size"":""XL"",""tags"":[""music"",""music""],""brand"":""BrandA"",""color"":""small"",""price"":15.02,""rating"":""5.0"",""weight"":1.38,""material"":""Plastic"",""inventory"":788,""dimensions"":{""width"":428,""height"":358,""length"":36},""createdDate"":""2025-11-19T17:25:48.052Z"",""description"":""A deluxe art product"",""lastModified"":""2026-02-26T02:51:06.348Z""}",0.662
1,REC-000002,Complaint,Delivery,Complaint,Fraud,"{""sku"": ""SKU-FWUCPW6P"", ""upc"": ""817346185098"", ""name"": ""Artículo_euv9kg"", ""size"": ""S"", ""tags"": [""comida"", ""juguetes"", ""juguetes"", ""ropa""], ""brand"": ""Premium"", ""color"": ""rojo"", ""price"": 46.55, ""rating"": ""2.9"", ""weight"": 70.42, ""material"": ""Lana"", ""inventory"": 630, ""dimensions"": {""width"": 64, ""height"": 312, ""length"": 345}, ""createdDate"": ""2025-06-28T18:18:57.767Z"", ""description"": ""Un producto de juguetes para consumidores"", ""lastModified"": ""2026-03-04T01:07:25.504Z""}","{""region"": ""EU"", ""source"": ""Entrada Manual"", ""status"": ""Revisión"", ""verified"": false, ""confidence"": ""25.91"", ""department"": ""Ventas"", ""dataQuality"": ""Alta"", ""lastChecked"": ""2026-03-22T02:11:35.404Z""}","{""sku"":""SKU-FWUCPW6P"",""upc"":""817346185098"",""name"":""Item_euv9kg"",""size"":""S"",""tags"":[""food"",""toys"",""toys"",""clothing""],""brand"":""Premium"",""color"":""red"",""price"":46.55,""rating"":""2.9"",""weight"":70.42,""material"":""Wool"",""inventory"":630,""dimensions"":{""width"":64,""height"":312,""length"":345},""createdDate"":""2025-06-28T18:18:57.767Z"",""description"":""A consumer toys product"",""lastModified"":""2026-03-04T01:07:25.504Z""}",0.259
1,REC-000003,Support,Knowledge Base,Feedback,Bug Report,"{""sku"": ""SKU-WYMYGTS8"", ""upc"": ""166778102537"", ""name"": ""Artículo_332vmq"", ""size"": ""XS"", ""tags"": [""muebles"", ""arte"", ""arte"", ""deportes"", ""arte""], ""brand"": ""Económico"", ""color"": ""rojo"", ""price"": 76.68, ""rating"": ""2.1"", ""weight"": 74.55, ""material"": ""Madera"", ""inventory"": 395, ""dimensions"": {""width"": 491, ""height"": 383, ""length"": 217}, ""createdDate"": ""2025-10-17T10:43:58.224Z"", ""description"": ""Un producto de hogar estándar"", ""lastModified"": ""2026-03-13T21:29:20.314Z""}","{""region"": ""MENA"", ""source"": ""Envío de Usuario"", ""status"": ""Archivado"", ""verified"": true, ""confidence"": ""63.96"", ""department"": ""Finanzas"", ""dataQuality"": ""Alta"", ""lastChecked"": ""2026-03-14T04:38:47.680Z""}","{""sku"":""SKU-WYMYGTS8"",""upc"":""166778102537"",""name"":""Item_332vmq"",""size"":""XS"",""tags"":[""furniture"",""art"",""art"",""sports"",""art""],""brand"":""Budget"",""color"":""red"",""price"":76.68,""rating"":""2.1"",""weight"":74.55,""material"":""Wood"",""inventory"":395,""dimensions"":{""width"":491,""height"":383,""length"":217},""createdDate"":""2025-10-17T10:43:58.224Z"",""description"":""A standard home product"",""lastModified"":""2026-03-13T21:29:20.314Z""}",0.640
1,REC-000004,Content,Audio,Document,Contract,"{""sku"": ""SKU-Q1QSDNM9"", ""upc"": ""298054982716"", ""name"": ""Artículo_pizlje"", ""size"": ""XXL"", ""tags"": [""muebles"", ""libros"", ""deportes""], ""brand"": ""Genérico"", ""color"": ""pequeño"", ""price"": 31.85, ""rating"": ""1.9"", ""weight"": 88.19, ""material"": ""Vidrio"", ""inventory"": 847, ""dimensions"": {""width"": 2, ""height"": 282, ""length"": 280}, ""createdDate"": ""2025-06-01T22:30:13.433Z"", ""description"": ""Un producto de ropa de lujo"", ""lastModified"": ""2026-03-05T20:25:44.640Z""}","{""region"": ""MENA"", ""source"": ""Envío de Usuario"", ""status"": ""Archivado"", ""verified"": false, ""confidence"": ""77.38"", ""department"": ""Soporte"", ""dataQuality"": ""Baja"", ""lastChecked"": ""2026-03-02T21:28:42.147Z""}","{""sku"":""SKU-Q1QSDNM9"",""upc"":""298054982716"",""name"":""Item_pizlje"",""size"":""XXL"",""tags"":[""furniture"",""books"",""sports""],""brand"":""Generic"",""color"":""small"",""price"":31.85,""rating"":""1.9"",""weight"":88.19,""material"":""Glass"",""inventory"":847,""dimensions"":{""width"":2,""height"":282,""length"":280},""createdDate"":""2025-06-01T22:30:13.433Z"",""description"":""A deluxe clothing product"",""lastModified"":""2026-03-05T20:25:44.640Z""}",0.774
1,REC-000005,Account,Unverified,Account,Developer,"{""sku"": ""SKU-0LIR6C6I"", ""upc"": ""889993917346"", ""name"": ""Artículo_g97xbo"", ""size"": ""L"", ""tags"": [""libros"", ""hogar""], ""brand"": ""Económico"", ""color"": ""rojo"", ""price"": 70.11, ""rating"": ""4.1"", ""weight"": 37.01, ""material"": ""Cuero"", ""inventory"": 999, ""dimensions"": {""width"": 395, ""height"": 212, ""length"": 441}, ""createdDate"": ""2026-02-16T09:30:51.826Z"", ""description"": ""Un producto de muebles premium"", ""lastModified"": ""2026-03-18T14:06:55.293Z""}","{""region"": ""US"", ""source"": ""Entrada Manual"", ""status"": ""Archivado"", ""verified"": false, ""confidence"": ""8.31"", ""department"": ""Marketing"", ""dataQuality"": ""Media"", ""lastChecked"": ""2026-03-14T17:45:18.180Z""}","{""sku"":""SKU-0LIR6C6I"",""upc"":""889993917346"",""name"":""Item_g97xbo"",""size"":""L"",""tags"":[""books"",""home""],""brand"":""Budget"",""color"":""red"",""price"":70.11,""rating"":""4.1"",""weight"":37.01,""material"":""Leather"",""inventory"":999,""dimensions"":{""width"":395,""height"":212,""length"":441},""createdDate"":""2026-02-16T09:30:51.826Z"",""description"":""A premium furniture product"",""lastModified"":""2026-03-18T14:06:55.293Z""}",0.083
1,REC-000006,Communication,Phone Call,Communication,Newsletter,"{""sku"": ""SKU-GX9BH1R5"", ""upc"": ""499894567444"", ""name"": ""Artículo_x0p0s"", ""size"": ""XL"", ""tags"": [""libros"", ""ropa"", ""libros"", ""juguetes""], ""brand"": ""Genérico"", ""color"": ""básico"", ""price"": 17.48, ""rating"": ""4.9"", ""weight"": 17.31, ""material"": ""Lana"", ""inventory"": 779, ""dimensions"": {""width"": 157, ""height"": 435, ""length"": 484}, ""createdDate"": ""2026-01-08T22:50:13.342Z"", ""description"": ""Un producto de alimentos estándar"", ""lastModified"": ""2026-03-19T09:21:03.984Z""}","{""region"": ""LATAM"", ""source"": ""Extracción Web"", ""status"": ""Archivado"", ""verified"": true, ""confidence"": ""86.37"", ""department"": ""Soporte"", ""dataQuality"": ""Media"", ""lastChecked"": ""2026-03-27T07:57:22.513Z""}","{""sku"":""SKU-GX9BH1R5"",""upc"":""499894567444"",""name"":""Item_x0p0s"",""size"":""XL"",""tags"":[""books"",""clothing"",""books"",""toys""],""brand"":""Generic"",""color"":""basic"",""price"":17.48,""rating"":""4.9"",""weight"":17.31,""material"":""Wool"",""inventory"":779,""dimensions"":{""width"":157,""height"":435,""length"":484},""createdDate"":""2026-01-08T22:50:13.342Z"",""description"":""A standard food product"",""lastModified"":""2026-03-19T09:21:03.984Z""}",0.864
1,REC-000007,Analytics,Retention,Analytics,Conversion,,"{""region"": ""LATAM"", ""source"": ""Extracción Web"", ""status"": ""Archivado"", ""verified"": false, ""confidence"": ""77.72"", ""department"": ""Soporte"", ""dataQuality"": ""Alta"", ""lastChecked"": ""2026-03-11T19:33:31.318Z""}",,0.777
1,REC-000008,Product,Exclusive,Product,Bundle,"{""sku"": ""SKU-XT3LQVEX"", ""upc"": ""717713621230"", ""name"": ""Artículo_pirp05"", ""size"": ""M"", ""tags"": [""electrónica"", ""electrónica"", ""juguetes""], ""brand"": ""MarcaD"", ""color"": ""grande"", ""price"": 42.15, ""rating"": ""1.9"", ""weight"": 62.54, ""material"": ""Nylon"", ""inventory"": 689, ""dimensions"": {""width"": 315, ""height"": 16, ""length"": 493}, ""createdDate"": ""2025-08-25T16:42:17.719Z"", ""description"": ""Un producto de deportes pequeño"", ""lastModified"": ""2026-03-08T11:33:57.617Z""}","{""region"": ""LATAM"", ""source"": ""Entrada Manual"", ""status"": ""Revisión"", ""verified"": false, ""confidence"": ""70.44"", ""department"": ""Marketing"", ""dataQuality"": ""Media"", ""lastChecked"": ""2026-03-24T09:17:58.558Z""}","{""sku"":""SKU-XT3LQVEX"",""upc"":""717713621230"",""name"":""Item_pirp05"",""size"":""M"",""tags"":[""electronics"",""electronics"",""toys""],""brand"":""BrandD"",""color"":""large"",""price"":42.15,""rating"":""1.9"",""weight"":62.54,""material"":""Nylon"",""inventory"":689,""dimensions"":{""width"":315,""height"":16,""length"":493},""createdDate"":""2025-08-25T16:42:17.719Z"",""description"":""A small sports product"",""lastModified"":""2026-03-08T11:33:57.617Z""}",0.704
1,REC-000009,Security,Login,Security,Encryption,"{""sku"": ""SKU-SN4SA0QZ"", ""upc"": ""21929736255"", ""name"": ""Artículo_bivjr"", ""size"": ""L"", ""tags"": [""libros"", ""música"", ""muebles""], ""brand"": ""Marca Propia"", ""color"": ""básico"", ""price"": 23.92, ""rating"": ""1.9"", ""weight"": 28.68, ""material"": ""Metal"", ""inventory"": 651, ""dimensions"": {""width"": 126, ""height"": 188, ""length"": 88}, ""createdDate"": ""2025-06-10T04:07:15.987Z"", ""description"": ""Un producto de muebles estándar"", ""lastModified"": ""2026-03-14T06:42:50.748Z""}","{""region"": ""US"", ""source"": ""Envío de Usuario"", ""status"": ""Pendiente"", ""verified"": false, ""confidence"": ""86.45"", ""department"": ""Operaciones"", ""dataQuality"": ""Media"", ""lastChecked"": ""2026-02-28T23:56:42.772Z""}","{""sku"":""SKU-SN4SA0QZ"",""upc"":""21929736255"",""name"":""Item_bivjr"",""size"":""L"",""tags"":[""books"",""music"",""furniture""],""brand"":""Store Brand"",""color"":""basic"",""price"":23.92,""rating"":""1.9"",""weight"":28.68,""material"":""Metal"",""inventory"":651,""dimensions"":{""width"":126,""height"":188,""length"":88},""createdDate"":""2025-06-10T04:07:15.987Z"",""description"":""A standard furniture product"",""lastModified"":""2026-03-14T06:42:50.748Z""}",0.865
1,REC-000010,Support,Phone,Feedback,Suggestion,"{""sku"": ""SKU-EY69AE9X"", ""upc"": ""770547915937"", ""name"": ""Artículo_ig3mp"", ""size"": ""S"", ""tags"": [""libros"", ""arte"", ""música"", ""música""], ""brand"": ""Genérico"", ""color"": ""grande"", ""price"": 11.77, ""rating"": ""2.5"", ""weight"": 93.79, ""material"": ""Nylon"", ""inventory"": 242, ""dimensions"": {""width"": 274, ""height"": 499, ""length"": 185}, ""createdDate"": ""2025-12-18T17:22:33.709Z"", ""description"": ""Un producto de música rojo"", ""lastModified"": ""2026-03-25T17:15:48.840Z""}","{""region"": ""APAC"", ""source"": ""API"", ""status"": ""Pendiente"", ""verified"": true, ""confidence"": ""25.59"", ""department"": ""Ventas"", ""dataQuality"": ""Baja"", ""lastChecked"": ""2026-03-16T14:45:08.498Z""}","{""sku"":""SKU-EY69AE9X"",""upc"":""770547915937"",""name"":""Item_ig3mp"",""size"":""S"",""tags"":[""books"",""art"",""music"",""music""],""brand"":""Generic"",""color"":""large"",""price"":11.77,""rating"":""2.5"",""weight"":93.79,""material"":""Nylon"",""inventory"":242,""dimensions"":{""width"":274,""height"":499,""length"":185},""createdDate"":""2025-12-18T17:22:33.709Z"",""description"":""A red music product"",""lastModified"":""2026-03-25T17:15:48.840Z""}",0.256
